text,spam
[광고]  보험 Itaque eum ipsum beatae. 대출 할인 이벤트 할인 대출 http://www.yu.org/ Repellat nesciunt impedit dolor ipsa.,1
"[회의]  회의 문의 자율적인 플러그 앤 플레이 전자시장 Hic eos sed exercitationem praesentium. 김예원님, Quam ab iusto. Quis ullam fugit in ex debitis.",0
[광고]  할인 비밀번호 Soluta sequi nulla odio velit. 비밀번호 당첨 이벤트 보험 이벤트 https://songgangan.com/ Suscipit qui nostrum sed.,1
"[안내]  보고서 변화된 직감 전자화폐 Recusandae itaque dolores reprehenderit incidunt. 이광수님, Iure repudiandae aperiam sint pariatur. Ut laboriosam excepturi aut.",0
[광고]  보험 Ad odio asperiores qui esse nostrum sapiente. 이벤트 대출 VIP 보험 무료 https://jusighoesa.com/ Mollitia ducimus quos hic accusamus.,1
"[안내]  회의 프로젝트 검토 문화적인 강렬한 매트릭스 Deleniti deserunt impedit libero odit. 양현우님, Earum modi temporibus. Deleniti itaque placeat nulla.",0
[광고]  선착순 당첨 VIP Ducimus voluptatum nulla at quam nesciunt. 보험 특가 VIP 할인 대출 http://www.yu.org/ At voluptate voluptatibus dolor adipisci tempore.,1
"[안내]  고객 일정 요청 구조적인 창의적 플랫폼 Officiis aliquam asperiores occaecati eaque totam asperiores natus. 이영길님, Nostrum autem sunt tenetur quisquam repellendus. Explicabo accusantium dolorem ratione at distinctio nobis.",0
[광고]  특가 Et porro earum magni tenetur minima rerum. 당첨 비밀번호 VIP 혜택 당첨 https://gimgang.kr/ Quod omnis odit error saepe enim.,1
"[안내]  프로젝트 팀원 선구적인 융합 전자 서비스 Culpa placeat inventore minus sint quisquam veritatis. 전영길님, Dicta aliquam excepturi ducimus similique ex facilis. Ea ratione facere et error doloremque consectetur.",0
[광고]  할인 Magni maiores quia alias veniam. 할인 특가 혜택 무료 이벤트 http://gimgim.org/ Nihil doloremque distinctio fugiat saepe eius.,1
"[회의]  보고서 감사합니다 고객 발전하는 글로벌 플랫폼 Aperiam unde ipsam alias numquam doloribus. 오준영님, Esse aspernatur aperiam provident. Velit in numquam fugiat quos.",0
[광고]  당첨 VIP Distinctio ad blanditiis illo maxime excepturi deleniti. 수령 특가 혜택 보험 선착순 http://yuhanhoesa.kr/ Provident dolore deleniti.,1
"[회의]  문의 제작된 오픈 소스 전자 서비스 Porro fuga perferendis ratione explicabo fugit. 김명숙님, Voluptatum consectetur odit consequuntur assumenda voluptatem. Et earum animi ab deserunt illum.",0
[광고]  할인 보험 Numquam a laborum inventore quod. 보험 선착순 할인 VIP 혜택 http://www.yu.com/ Voluptatum consequuntur cumque aut.,1
"[회의]  팀원 프로젝트 회의 전략적인 창의적 시너지 Quia cum placeat quod. 한우진님, Sit delectus in voluptatibus dolorum earum dolore explicabo. Dolor molestiae blanditiis.",0
[광고]  혜택 Placeat enim pariatur nemo aliquid. 무료 당첨 무료 대출 대출 http://yu.com/ Accusamus officia ipsam.,1
"[회의]  고객 보고서 요청 전략적인 B2C 채널 Doloremque unde laudantium animi. 안정숙님, Similique id modi nobis quisquam veniam tempora. Illum autem voluptate aspernatur possimus dolorem sapiente aut.",0
[광고]  할인 Reprehenderit ex dolor. 수령 무료 특가 할인 특가 https://gimgimbag.org/ Reprehenderit suscipit aliquam iure.,1
"[안내]  고객 팀원 감사합니다 배송 오픈 소스 시스템 Dolorem necessitatibus maxime ut nobis amet. 이정자님, Hic eaque quam vel quibusdam vel. Doloribus cumque fuga odit.",0
[광고]  혜택 특가 VIP Nam consectetur qui. VIP 선착순 VIP 무료 수령 http://ju.kr/ Explicabo magni repellat error aperiam omnis nesciunt.,1
"[회의]  검토 검토 고객 시각적인 실시간 생산라인 Delectus voluptates cupiditate tenetur ea impedit dolores. 김하은님, Non aspernatur perspiciatis. Omnis fugit minima.",0
[광고]  대출 대출 수령 Corrupti voluptatibus necessitatibus fugit rem molestias. 대출 특가 할인 수령 VIP http://jusighoesa.net/ Ex soluta quos quo.,1
"[회의]  문의 보고서 요청 문화적인 창조적 어플리케이션 Ratione odio exercitationem quaerat saepe quibusdam. 지명자님, Illum vero harum. Vero ratione ratione aliquid saepe laborum debitis.",0
[광고]  대출 대출 특가 Labore iste officia maxime vel est dolores. 무료 보험 수령 특가 할인 http://yuhanhoesa.com/ Quaerat vel inventore itaque culpa.,1
"[안내]  문의 구조적인 글로벌 플랫폼 Necessitatibus sit culpa beatae commodi numquam ipsa. 김영식님, Ab totam inventore corporis optio qui rerum. Molestiae enim alias minima praesentium voluptas culpa.",0
[광고]  대출 당첨 비밀번호 Cumque eius quisquam consequatur asperiores nihil. 할인 보험 선착순 이벤트 특가 http://ibae.kr/ Dolorum earum aspernatur est vel recusandae id.,1
"[회의]  팀원 팀원 협업 창의적인 강렬한 포탈 Velit dicta alias. 김지연님, Quos ratione illo in porro nam. Accusantium quae optio asperiores rem consequuntur mollitia nemo.",0
[광고]  무료 특가 Fuga ducimus qui saepe voluptate. 할인 수령 당첨 대출 수령 https://www.yuhanhoesa.com/ Sequi illo molestiae fugiat deserunt porro ab nulla.,1
"[안내]  감사합니다 변화무쌍한 효율적 마케팅 Rerum expedita ratione aspernatur perferendis repellendus. 김성민님, Quasi occaecati placeat non excepturi tenetur. Optio qui eos dicta earum eaque.",0
[광고]  대출 보험 Eaque nobis possimus tempore. 수령 비밀번호 수령 VIP 무료 http://yu.com/ Non ullam explicabo.,1
"[회의]  요청 협업 팀원 배송 철벽 전자시장 Quas rerum sit. 진정순님, Rerum blanditiis ullam at ab inventore eligendi. Explicabo consequatur fugiat aut quas.",0
[광고]  대출 특가 특가 Adipisci dignissimos molestias reprehenderit nobis nobis dolorum. 특가 이벤트 당첨 대출 대출 http://gimigim.net/ Tempora laboriosam itaque modi officiis.,1
"[안내]  협업 신속한 전자 비즈니스 솔루션 Dolorum fuga ex et. 이수빈님, Explicabo reiciendis hic eveniet delectus. Voluptatum voluptatum ullam facilis atque.",0
[광고]  비밀번호 Magnam nihil optio occaecati commodi ipsam magni hic. 비밀번호 무료 선착순 대출 특가 https://www.jusighoesa.net/ Provident reprehenderit fuga architecto assumenda deleniti nostrum.,1
"[회의]  보고서 요청 벤치마킹된 부자 솔루션 Quia tenetur reprehenderit omnis maxime. 김승현님, Sed minus vel aut. Eaque cupiditate voluptatem quae incidunt quia earum laudantium.",0
